"model_id","location","ae_median_scaled_relative_skill","ae_median","wis_scaled_relative_skill","wis","interval_coverage_95","n"
"GZNL-ExponentialSmoothing","CN",1,0.00116666666666667,1,0.0212480434782609,1,18
"GZNL-SeasonalDecomposition","CN",1.12983096390975,0.00116666666666667,1.00442079106306,0.0213289855072464,1,18
"GZNL-SimpleTrend","CN",0.608087644089015,0.000666666666666667,1.00607587058485,0.0213783333333333,1,18
"MUST-SEIRS","CN",370.19426871367,0.85015757,25.7716349902931,0.78535000684,0,1
"XMU_CTModelling-FNN","CN",493.263369160911,0.498333333333333,19.9395621520655,0.389388405797101,0.833333333333333,11
"XMU_CTModelling-GRU","CN",354.807386268171,0.371666666666667,17.307012865274,0.349205797101449,0.5,11
"XMU_CTModelling-LSTM","CN",574.234429434832,0.575,26.9140464184697,0.507594202898551,0.5,11
"XMU_CTModelling-TCN","CN",653.803259432313,0.648333333333333,25.2555002298334,0.479052173913043,0.833333333333333,11
"XMU_CTModelling-XGBoost","CN",300.262078172964,0.323333333333333,14.5723075102765,0.311178260869565,0.666666666666667,11
